,Weight
0,28.761629659506106
1,22.032153242685972
2,18.029794019876597
3,17.888935365347415
4,15.225966756928145
5,14.926754379072102
6,12.894733871234543
7,12.852229595603209
8,12.551334769310424
9,12.435485321614891
10,12.068759461293867
11,11.56700663604289
12,11.082748879589595
13,10.525145951072092
14,10.495987503075954
15,10.250942780049694
16,10.200924366382397
17,10.104252435921284
18,10.065897401452442
19,9.662498955099316
20,9.461640956141123
21,9.334912473536148
22,9.014055785719929
23,9.014055785719929
24,8.568153063735473
25,8.568153063735473
26,8.145577100147927
27,7.9255415839553125
28,7.711337757361926
29,7.711337757361926
30,7.655487654095405
31,7.39294786227146
32,7.362106965838586
33,7.319602690207255
34,7.279565207301676
35,7.275415966139186
36,7.1845757252773
37,7.16539820804288
38,7.117062242812323
39,7.074557967180993
40,6.719495486058424
41,6.657813693192673
42,6.640318624394992
43,6.640318624394992
44,6.609477727962116
45,6.462787383833708
46,6.462787383833708
47,6.426114797801604
48,6.33359210850298
49,6.291087832871652
50,6.285256143272424
51,6.24858355724032
52,6.211910971208218
53,6.211910971208218
54,6.192733453973797
55,6.034379730646934
56,5.966866248181955
57,5.966866248181955
58,5.930193662149854
59,5.856848490085649
60,5.8260075936527755
61,5.8201759040535475
62,5.783503318021445
63,5.783503318021445
64,5.783503318021445
65,5.783503318021445
66,5.733484904354149
67,5.6968123183220465
68,5.648476353091491
69,5.605972077460161
70,5.598457939424194
71,5.569299491428057
72,5.465113422930977
73,5.465113422930977
74,5.428440836898877
75,5.397599940466001
76,5.3917682508667735
77,5.360927354433898
78,5.355095664834671
79,5.355095664834671
80,5.287582182369694
81,5.250909596337591
82,5.183396113872614
83,5.1775644242733865
84,5.140891838241284
85,5.140891838241284
86,5.115882631407636
87,5.073378355776307
88,5.073378355776307
89,5.017528252509784
90,5.005864873311329
91,4.969192287279228
92,4.9633605976799995
93,4.9633605976799995
94,4.926688011647896
95,4.926688011647896
96,4.926688011647896
97,4.926688011647896
98,4.926688011647896
99,4.895847115215023
100,4.828333632750044
101,4.785829357118715
102,4.785829357118715
103,4.785829357118715
104,4.7491567710866125
105,4.7491567710866125
106,4.7491567710866125
107,4.71248418505451
108,4.71248418505451
109,4.65080239218876
110,4.614129806156658
111,4.60829811655743
112,4.571625530525328
113,4.571625530525328
114,4.540784634092454
115,4.534952944493226
116,4.498280358461123
117,4.498280358461123
118,4.471588703190739
119,4.430766875996146
120,4.4174210483609535
121,4.326580807499067
122,4.326580807499067
123,4.2899082214669635
124,4.2899082214669635
125,4.253235635434861
126,4.179890463370657
127,4.179890463370657
128,4.160712946136237
129,4.143217877338555
130,4.106545291306452
131,4.069872705274349
132,4.069872705274349
133,4.002359222809373
134,4.000676774372634
135,3.96568663677727
136,3.946509119542849
137,3.9406774299436225
138,3.934845740344395
139,3.8981731543122926
140,3.892341464713065
141,3.892341464713065
142,3.8615005682801904
143,3.855668878680963
144,3.855668878680963
145,3.8248279822480886
146,3.7939870858152136
147,3.788155396215986
148,3.732305292949463
149,3.7206419137510083
150,3.71481022415178
151,3.683969327718906
152,3.678137638119679
153,3.6472967416868034
154,3.641465052087576
155,3.641465052087576
156,3.641465052087576
157,3.641465052087576
158,3.641465052087576
159,3.641465052087576
160,3.641465052087576
161,3.5739515696225985
162,3.543110673189724
163,3.500606397558394
164,3.500606397558394
165,3.485578121486465
166,3.4697655011255195
167,3.4697655011255195
168,3.4639338115262923
169,3.4639338115262923
170,3.4639338115262923
171,3.427261225494189
172,3.427261225494189
173,3.427261225494189
174,3.427261225494189
175,3.427261225494189
176,3.427261225494189
177,3.427261225494189
178,3.427261225494189
179,3.396420329061315
180,3.3655794326284396
181,3.2922342605642347
182,3.286402570965007
183,3.255561674532132
184,3.249729984932905
185,3.249729984932905
186,3.249729984932905
187,3.224720778099258
188,3.213057398900802
189,3.213057398900802
190,3.213057398900802
191,3.1822165024679268
192,3.1147030200029504
193,3.1088713304037228
194,3.1088713304037228
195,3.0838621235700754
196,3.0780304339708477
197,3.0721987443716205
198,3.0721987443716205
199,3.0721987443716205
200,3.0721987443716205
201,3.0413578479387455
202,3.0355261583395174
203,3.0355261583395174
204,3.0355261583395174
205,3.0355261583395174
206,3.0105169515058705
207,3.0046852619066424
208,3.0046852619066424
209,2.9988535723074157
210,2.9988535723074157
211,2.9988535723074157
212,2.9988535723074157
213,2.9988535723074157
214,2.9988535723074157
215,2.9988535723074157
216,2.9988535723074157
217,2.9988535723074157
218,2.9988535723074157
219,2.973844365473768
220,2.9004991934095634
221,2.8946675038103358
222,2.8754899865759156
223,2.863826607377461
224,2.8579949177782336
225,2.8579949177782336
226,2.850480779742268
227,2.8271540213453585
228,2.8271540213453585
229,2.8213223317461313
230,2.8213223317461313
231,2.7846497457140287
232,2.7846497457140287
233,2.7846497457140287
234,2.7846497457140287
235,2.7846497457140287
236,2.7846497457140287
237,2.7846497457140287
238,2.7846497457140287
239,2.765472228479609
240,2.7596405388803813
241,2.753808849281154
242,2.753808849281154
243,2.753808849281154
244,2.7287996424475067
245,2.7171362632490514
246,2.7171362632490514
247,2.70367667575515
248,2.686295366816176
249,2.680463677216949
250,2.643791091184847
251,2.643791091184847
252,2.643791091184847
253,2.643791091184847
254,2.612950194751972
255,2.6071185051527443
256,2.6071185051527443
257,2.6071185051527443
258,2.6071185051527443
259,2.6071185051527443
260,2.6071185051527443
261,2.582109298319097
262,2.582109298319097
263,2.570445919120642
264,2.570445919120642
265,2.570445919120642
266,2.570445919120642
267,2.570445919120642
268,2.570445919120642
269,2.570445919120642
270,2.570445919120642
271,2.5396050226877667
272,2.5396050226877667
273,2.5396050226877667
274,2.5396050226877667
275,2.5145958158541193
276,2.508764126254892
277,2.4720915402227894
278,2.4662598506235622
279,2.45291402298837
280,2.445399884952404
281,2.4412506437899144
282,2.42958726459146
283,2.4104097473570403
284,2.4045780577578126
285,2.3929146785593574
286,2.3929146785593574
287,2.3929146785593574
288,2.3929146785593574
289,2.3929146785593574
290,2.3929146785593574
291,2.3929146785593574
292,2.356242092527255
293,2.356242092527255
294,2.356242092527255
295,2.356242092527255
296,2.342896264892062
297,2.32540119609438
298,2.32540119609438
299,2.32540119609438
300,2.3178870580584148
301,2.294560299661505
302,2.294560299661505
303,2.288728610062278
304,2.288728610062278
305,2.26371940322863
306,2.257887713629403
307,2.2520560240301757
308,2.2212151275973
309,2.2212151275973
310,2.215383437998073
311,2.215383437998073
312,2.215383437998073
313,2.215383437998073
314,2.215383437998073
315,2.215383437998073
316,2.184542541565198
317,2.1787108519659704
318,2.1787108519659704
319,2.1787108519659704
320,2.1787108519659704
321,2.1787108519659704
322,2.1787108519659704
323,2.1478699555330953
324,2.142038265933868
325,2.142038265933868
326,2.142038265933868
327,2.142038265933868
328,2.142038265933868
329,2.142038265933868
330,2.142038265933868
331,2.142038265933868
332,2.142038265933868
333,2.142038265933868
334,2.1170290591002203
335,2.111197369500993
336,2.111197369500993
337,2.111197369500993
338,2.092019852266573
339,2.0803564730681186
340,2.0745247834688914
341,2.0745247834688914
342,2.0745247834688914
343,2.0553472662344707
344,2.0378521974367887
345,2.0378521974367887
346,2.0378521974367887
347,2.0378521974367887
348,2.0378521974367887
349,2.0378521974367887
350,2.0378521974367887
351,2.018674680202369
352,2.0070113010039137
353,2.0070113010039137
354,2.0070113010039137
355,2.0011796114046865
356,2.0011796114046865
357,2.0011796114046865
358,2.0011796114046865
359,2.0011796114046865
360,2.0011796114046865
361,1.9703387149718112
362,1.9645070253725838
363,1.9645070253725838
364,1.9645070253725838
365,1.9645070253725838
366,1.9645070253725838
367,1.939497818538936
368,1.9336661289397092
369,1.9278344393404816
370,1.9278344393404816
371,1.9278344393404816
372,1.9278344393404816
373,1.9278344393404816
374,1.9278344393404816
375,1.9278344393404816
376,1.9278344393404816
377,1.9278344393404816
378,1.9278344393404816
379,1.9278344393404816
380,1.9278344393404816
381,1.9278344393404816
382,1.9278344393404816
383,1.9278344393404816
384,1.9261519909037432
385,1.8969935429076068
386,1.8661526464747316
387,1.8661526464747316
388,1.8236483708434017
389,1.8236483708434017
390,1.8236483708434017
391,1.8236483708434017
392,1.8236483708434017
393,1.8236483708434017
394,1.8236483708434017
395,1.8236483708434017
396,1.8236483708434017
397,1.798639164009754
398,1.7869757848112993
399,1.7869757848112993
400,1.7869757848112993
401,1.7869757848112993
402,1.7869757848112993
403,1.7869757848112993
404,1.7869757848112993
405,1.7869757848112993
406,1.7869757848112993
407,1.7869757848112993
408,1.7852933363745613
409,1.7561348883784242
410,1.750303198779197
411,1.750303198779197
412,1.750303198779197
413,1.750303198779197
414,1.750303198779197
415,1.750303198779197
416,1.750303198779197
417,1.750303198779197
418,1.750303198779197
